1-a.wav,"o piloto atrás é um pouco suspeito, fique de olho nos retrovisores aqui"
10_male-a.wav,"o cara atrás não é o mais limpo corredor, cuide se"
1_male-a.wav,"o cara atrás tá um pouco duvidoso, fique de olho nos retrovisores aqui"
2-a.wav,"fique de olho nos retrovisores aqui, a reputação do piloto atrás não é muito boa"
2_male-a.wav,"fique de olho no espelho aqui, a reputação do cara atrás não é muito boa"
3-a.wav,"o piloto atrás teve muitos incidentes recentemente, tenha isso em mente"
3_male-a.wav,"o cara atrás teve muitos incidentes recentemente, tenha isso em mente"
4-a.wav,"o piloto atrás não é o mais limpo, tenha cuidado aqui"
4_male-a.wav,"o cara de atrás não é o piloto mais limpo do mundo, cuide se aqui"
5-a.wav,"a reputação do piloto atrás não é boa"
5_male-a.wav,"a reputação do cara atrás não é boa"
6-a.wav,"o piloto atrás tem uma reputação duvidosa, tenha cuidado"
6_male-a.wav,"o cara atrás tem uma reputação um pouco duvidosa, tenha cuidado"
7-a.wav,"o piloto que está atrás teve alguns incidentes recentemente, tenha isso em mente"
7_male-a.wav,"o cara de atrás não corre muito bem, tome cuidado"
8_male-a.wav,"a reputação do cara atrás não é tão boa quanto deveria ser, cuide se"
9_male-a.wav,"o cara atrás teve alguns incidentes recentemente"
